query,category,expectedOutcome,rank,id,title,artist,source,score,licenseType,medium,classification,culture,objectDate,tags,subjectTitles,styleTitles,techniqueTitles,themeTitles,imageUrl,originalLink,sourceLink
baroque religious painting dramatic light,painting,"Results should surface historical museum works with clear title, artist, source, and original link.",5,met-435848,The Birth of the Virgin,Fra Carnevale (Bartolomeo di Giovanni Corradini),The Metropolitan Museum of Art,1.74,Public Domain,Tempera and oil on wood,Paintings,,1467,Infants;Men;Women;Saint Anne;Virgin Mary,,,,,https://images.metmuseum.org/CRDImages/ep/original/DP109484.jpg,https://www.metmuseum.org/art/collection/search/435848,https://www.metmuseum.org
baroque religious painting dramatic light,painting,"Results should surface historical museum works with clear title, artist, source, and original link.",6,aic-160030,The Ecstasy of Saint Francis,"Giovanni Baglione (Italian, 1566–1643)",Art Institute of Chicago,1.74,Public Domain,,,,,,religious figures;divine;angels;saints;Christianity;Christian subjects;religious scenes;religion,17th Century;Baroque,painting;painting (image making);painting techniques,,http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Baglione%20-%20The%20Ecstasy%20of%20St%20Francis%20-%20WGA1155.jpg?width=843,https://www.artic.edu/artworks/160030,https://www.artic.edu
abstract expressionist color field painting,painting,Ranked results should include relevant painting references and avoid unrelated photography-first cards.,1,unsplash--MCrF6hnojU,"Part of the ""Cityscape"" painting by Jene Stephaniuk. instagram.com/jenegallery",Jené Stephaniuk,Unsplash,1.96,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1605721911519-3dfeb3be25e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwxfHxhYnN0cmFjdCUyMGV4cHJlc3Npb25pc3QlMjBjb2xvciUyMGZpZWxkJTIwcGFpbnRpbmd8ZW58MXx8fHwxNzg5NTk3Nzg2fDA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/red-blue-and-yellow-abstract-painting--MCrF6hnojU,https://unsplash.com/@jenestephaniuk
abstract expressionist color field painting,painting,Ranked results should include relevant painting references and avoid unrelated photography-first cards.,2,unsplash-zMl9PjGFPWg,Painting pattern 1,Vojtech Bruzek,Unsplash,1.95,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1618331833071-ce81bd50d300?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwyfHxhYnN0cmFjdCUyMGV4cHJlc3Npb25pc3QlMjBjb2xvciUyMGZpZWxkJTIwcGFpbnRpbmd8ZW58MXx8fHwxNzg5NTk3Nzg2fDA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/blue-white-and-yellow-abstract-painting-zMl9PjGFPWg,https://unsplash.com/@vojtechbruzek
abstract expressionist color field painting,painting,Ranked results should include relevant painting references and avoid unrelated photography-first cards.,3,unsplash-mCjA1I8SlS8,Painting pattern - full size of painting and more you can find on my profile. Painting is available for sale. ,Vojtech Bruzek,Unsplash,1.92,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1618331835717-801e976710b2?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw1fHxhYnN0cmFjdCUyMGV4cHJlc3Npb25pc3QlMjBjb2xvciUyMGZpZWxkJTIwcGFpbnRpbmd8ZW58MXx8fHwxNzg5NTk3Nzg2fDA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/yellow-green-and-white-abstract-painting-mCjA1I8SlS8,https://unsplash.com/@vojtechbruzek
abstract expressionist color field painting,painting,Ranked results should include relevant painting references and avoid unrelated photography-first cards.,4,unsplash-e5LdlAMpkEw,More: https://stevejohnsonart.us,Steve A Johnson,Unsplash,1.72,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1541961017774-22349e4a1262?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwzfHxhYnN0cmFjdCUyMGV4cHJlc3Npb25pc3QlMjBjb2xvciUyMGZpZWxkJTIwcGFpbnRpbmd8ZW58MXx8fHwxNzg5NTk3Nzg2fDA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/abstract-painting-e5LdlAMpkEw,https://unsplash.com/@steve_j
abstract expressionist color field painting,painting,Ranked results should include relevant painting references and avoid unrelated photography-first cards.,5,met-438821,Ia Orana Maria (Hail Mary),Paul Gauguin,The Metropolitan Museum of Art,1.66,Public Domain,Oil on canvas,Paintings,,1891,Women;Landscapes;Angels;Virgin Mary;Jesus,,,,,https://images.metmuseum.org/CRDImages/ep/original/DT1025.jpg,https://www.metmuseum.org/art/collection/search/438821,https://www.metmuseum.org
abstract expressionist color field painting,painting,Ranked results should include relevant painting references and avoid unrelated photography-first cards.,6,aic-94841,The Song of the Lark,"Jules Breton (French, 1827–1906)",Art Institute of Chicago,1.66,Public Domain,,,,,,woman;sky;horizon;landscape;rural life;bird;farm;field;girl;labor;peasants;sun;sunrises,19th century,oil painting;painting;painting (image making);painting techniques,,http://commons.wikimedia.org/wiki/Special:FilePath/Jules%20Breton%2C%20le%20chant%20de%20l%27alouette.1884.jpg?width=843,https://www.artic.edu/artworks/94841,https://www.artic.edu
classical marble sculpture figure,sculpture,Museum-based sculpture pieces should rank highly with usable images and attribution.,1,unsplash-OOsBauAknWk,When the sunlight tints the marble sculpture.,Xinyi Wen,Unsplash,2.13,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1725809590844-409adc95db52?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw2fHxjbGFzc2ljYWwlMjBtYXJibGUlMjBzY3VscHR1cmUlMjBmaWd1cmV8ZW58MXx8fHwxNzg5NTk3Nzg3fDA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/a-statue-of-a-man-with-his-arms-crossed-OOsBauAknWk,https://unsplash.com/@ewxy
classical marble sculpture figure,sculpture,Museum-based sculpture pieces should rank highly with usable images and attribution.,2,met-206989,Commode à vantaux,David Roentgen,The Metropolitan Museum of Art,1.86,Public Domain,"Oak, pine, walnut, mahogany, and cherry veneered with hornbeam (partially stained), tulipwood, walnut, holly and maple (both partially stained), boxwood, mahogany, and other woods; red brocatelle marble; gilt bronze; iron, steel, and brass",Woodwork-Furniture,,ca. 1775–79 with later alterations,Men;Women;Dogs,,,,,https://images.metmuseum.org/CRDImages/es/original/DT8910.jpg,https://www.metmuseum.org/art/collection/search/206989,https://www.metmuseum.org
classical marble sculpture figure,sculpture,Museum-based sculpture pieces should rank highly with usable images and attribution.,3,met-202163,Drop-front desk (secrétaire à abattant or secrétaire en cabinet),Adam Weisweiler,The Metropolitan Museum of Art,1.85,Public Domain,"Oak veneered with burl thuya, amaranth, mahogany, satinwood, holly, and ebonized holly; painted metal; one soft-paste porcelain plaque; fifteen jasper medallions; gilt-bronze mounts; marble; leather (not original)",Woodwork-Furniture,,ca. 1787,,,,,,https://images.metmuseum.org/CRDImages/es/original/DP105328.jpg,https://www.metmuseum.org/art/collection/search/202163,https://www.metmuseum.org
classical marble sculpture figure,sculpture,Museum-based sculpture pieces should rank highly with usable images and attribution.,4,met-206588,Commode (commode à vantaux) (part of a set),Adam Weisweiler,The Metropolitan Museum of Art,1.84,Public Domain,"Oak veneered with ebony, amaranth, holly, ebonized holly, satinwood, Japanese and French lacquer panels; gilt-bronze mounts, brocatelle marble top (not original); steel springs; morocco leather (not original)",Woodwork-Furniture,,ca. 1790,Buildings;Roosters,,,,,https://images.metmuseum.org/CRDImages/es/original/DP105715.jpg,https://www.metmuseum.org/art/collection/search/206588,https://www.metmuseum.org
classical marble sculpture figure,sculpture,Museum-based sculpture pieces should rank highly with usable images and attribution.,5,met-206589,Drop-front secretary on stand (secrètaire à abattant or secrétaire en cabinet) (one of a pair) (part of a set),Adam Weisweiler,The Metropolitan Museum of Art,1.83,Public Domain,"Oak veneered with ebony, amaranth, holly, ebonized holly, satinwood, Japanese and French lacquer panels, gilt-bronze mounts, brocatelle marble top (not original); steel springs; morocco leather (not original)",Woodwork-Furniture,,ca. 1790,,,,,,https://images.metmuseum.org/CRDImages/es/original/DP105716.jpg,https://www.metmuseum.org/art/collection/search/206589,https://www.metmuseum.org
classical marble sculpture figure,sculpture,Museum-based sculpture pieces should rank highly with usable images and attribution.,6,met-206990,Commode,André Charles Boulle,The Metropolitan Museum of Art,1.81,Public Domain,"Walnut veneered with ebony, marquetry of engraved brass and tortoiseshell, gilt-bronze mounts, verd antique marble",Woodwork-Furniture,,ca. 1710–20,,,,,,https://images.metmuseum.org/CRDImages/es/original/DP108742.jpg,https://www.metmuseum.org/art/collection/search/206990,https://www.metmuseum.org
bronze sculpture human anatomy study,sculpture,Results should include sculpture records with strong metadata completeness and original source links.,1,unsplash-0yLmwcXLwLw,human body sculpture,camilo jimenez,Unsplash,2.16,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1567607673554-2048def2c6b4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwzfHxicm9uemUlMjBzY3VscHR1cmUlMjBodW1hbiUyMGFuYXRvbXklMjBzdHVkeXxlbnwxfHx8fDE3ODk1OTc3ODh8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/human-body-sculpture-0yLmwcXLwLw,https://unsplash.com/@camstejim
bronze sculpture human anatomy study,sculpture,Results should include sculpture records with strong metadata completeness and original source links.,2,met-254613,Bronze figure of a boy in Eastern dress,Unknown artist,The Metropolitan Museum of Art,1.99,Public Domain,Bronze,Bronzes,"Greek, Ptolemaic or Roman",mid-late 1st century BCE,Boys,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP-39819-001.jpg,https://www.metmuseum.org/art/collection/search/254613,https://www.metmuseum.org
bronze sculpture human anatomy study,sculpture,Results should include sculpture records with strong metadata completeness and original source links.,3,met-249228,Bronze man and centaur,Unknown artist,The Metropolitan Museum of Art,1.97,Public Domain,Bronze,Bronzes,Greek,ca. 750 BCE,Men;Centaurs,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP-23249-001.jpg,https://www.metmuseum.org/art/collection/search/249228,https://www.metmuseum.org
bronze sculpture human anatomy study,sculpture,Results should include sculpture records with strong metadata completeness and original source links.,4,unsplash-Jq67nvYwUdE,Human Nervous system diorama from the Museum of Natural History at CDMX,Girl with red hat,Unsplash,1.96,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1597163182295-0632d20f7498?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwxfHxicm9uemUlMjBzY3VscHR1cmUlMjBodW1hbiUyMGFuYXRvbXklMjBzdHVkeXxlbnwxfHx8fDE3ODk1OTc3ODh8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/gold-statue-of-a-man-Jq67nvYwUdE,https://unsplash.com/@girlwithredhat
bronze sculpture human anatomy study,sculpture,Results should include sculpture records with strong metadata completeness and original source links.,5,unsplash-AhpNp--I2ME,"Rare Book Division, The New York Public Library. ""Prima pagina figurarum capitalium [Human brain]"" The New York Public Library Digital Collections. 1545. https://digitalcollections.nypl.org/items/510d47dd-f399-a3d9-e040-e00a18064a99",The New York Public Library,Unsplash,1.93,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1725399633872-32ba508b0607?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw0fHxicm9uemUlMjBzY3VscHR1cmUlMjBodW1hbiUyMGFuYXRvbXklMjBzdHVkeXxlbnwxfHx8fDE3ODk1OTc3ODh8MA&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/anatomical-drawings-of-the-human-brain-and-head-AhpNp--I2ME,https://unsplash.com/@nypl
bronze sculpture human anatomy study,sculpture,Results should include sculpture records with strong metadata completeness and original source links.,6,aic-24548,Shiva as Lord of the Dance (Nataraja),"India
Tamil Nadu",Art Institute of Chicago,1.56,Public Domain,,,,,,dancing;gods (deities);Hindu;religion;Shiva Nataraja,South Asian;chola,casting (process),Essentials,http://commons.wikimedia.org/wiki/Special:FilePath/Shiva%20as%20Lord%20of%20the%20Dance%20%28Nataraja%29.jpg?width=843,https://www.artic.edu/artworks/24548,https://www.artic.edu
ancient greek statue drapery,sculpture,Top cards should show sculpture-focused museum results with low duplication.,1,met-247173,Marble statue of Eirene (the personification of peace),Kephisodotos,The Metropolitan Museum of Art,1.96,Public Domain,"Marble, Pentelic ?",Stone Sculpture,Roman,ca. 14–68 CE,Women,,,,,https://images.metmuseum.org/CRDImages/gr/original/DT11659.jpg,https://www.metmuseum.org/art/collection/search/247173,https://www.metmuseum.org
ancient greek statue drapery,sculpture,Top cards should show sculpture-focused museum results with low duplication.,2,unsplash-RmSB2vuhX-c,"Statue
",Nayani Teixeira,Unsplash,1.95,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1574359587026-daf1bfd26baa?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwyfHxhbmNpZW50JTIwZ3JlZWslMjBzdGF0dWUlMjBkcmFwZXJ5fGVufDF8fHx8MTc4OTU5Nzc4OHww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/grayscale-photo-of-man-statue-RmSB2vuhX-c,https://unsplash.com/@teixeiranay
ancient greek statue drapery,sculpture,Top cards should show sculpture-focused museum results with low duplication.,3,unsplash-jE5tmEqjYUA,a historical statue from the roman period,engin akyurt,Unsplash,1.92,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1598564254441-be3be79c2b9a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw1fHxhbmNpZW50JTIwZ3JlZWslMjBzdGF0dWUlMjBkcmFwZXJ5fGVufDF8fHx8MTc4OTU5Nzc4OHww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/man-in-white-robe-statue-jE5tmEqjYUA,https://unsplash.com/@enginakyurt
ancient greek statue drapery,sculpture,Top cards should show sculpture-focused museum results with low duplication.,4,met-255973,"Statue of Dionysos leaning on a female figure (""Hope Dionysos"")","Pacetti, Vincenzo",The Metropolitan Museum of Art,1.91,Public Domain,Marble,Stone Sculpture,Roman,27 BCE–68 CE,Men;Women;Dionysus,,,,,https://images.metmuseum.org/CRDImages/gr/original/DT6494.jpg,https://www.metmuseum.org/art/collection/search/255973,https://www.metmuseum.org
ancient greek statue drapery,sculpture,Top cards should show sculpture-focused museum results with low duplication.,5,unsplash-7ZBKzqjrPBw,a statue of a man with his eyes closed,Lucrezia De Agrò,Unsplash,1.91,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1636137351259-fbe4b2a94244?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw2fHxhbmNpZW50JTIwZ3JlZWslMjBzdGF0dWUlMjBkcmFwZXJ5fGVufDF8fHx8MTc4OTU5Nzc4OHww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/a-statue-of-a-man-with-his-eyes-closed-7ZBKzqjrPBw,https://unsplash.com/@luludeagro
ancient greek statue drapery,sculpture,Top cards should show sculpture-focused museum results with low duplication.,6,met-248132,Marble statue of an old woman,Unknown artist,The Metropolitan Museum of Art,1.89,Public Domain,"Marble, Pentelic",Stone Sculpture,Roman,14–68 CE,Women,,,,,https://images.metmuseum.org/CRDImages/gr/original/DP277237.jpg,https://www.metmuseum.org/art/collection/search/248132,https://www.metmuseum.org
street photography at night rain,photography,"Unsplash should be prioritized, with photographer attribution and clear original photo links.",1,aic-20684,Paris Street; Rainy Day,"Gustave Caillebotte (French, 1848–1894)",Art Institute of Chicago,2.41,Public Domain,,,,,,urban life;hat;building;couples;figures;Paris;rain;street;umbrellas;cityscapes;weather/seasons;men;leisure;women;everyday life (genre);water,Impressionism;19th century,oil painting;painting;painting techniques;painting (image making),Essentials;Save Ferris,http://commons.wikimedia.org/wiki/Special:FilePath/Gustave%20Caillebotte%20-%20Paris%20Street%2C%20Rainy%20Day%20-%201964.336%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/20684,https://www.artic.edu
street photography at night rain,photography,"Unsplash should be prioritized, with photographer attribution and clear original photo links.",2,unsplash-EDGwCAOM_HA,A wet asphalt road reflecting streetlights and red traffic signals at night,Pavel Orange,Unsplash,2.39,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1618941240535-234c3212e3e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwyfHxzdHJlZXQlMjBwaG90b2dyYXBoeSUyMGF0JTIwbmlnaHQlMjByYWlufGVufDF8fHx8MTc4OTU5Nzc4OXww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/wet-asphalt-road-at-night-EDGwCAOM_HA,https://unsplash.com/@pavelorange
street photography at night rain,photography,"Unsplash should be prioritized, with photographer attribution and clear original photo links.",3,unsplash-sDJcm_agS04,a street at night with a street light on,Photozzia,Unsplash,2.36,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1706875311168-bd3b08547236?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw1fHxzdHJlZXQlMjBwaG90b2dyYXBoeSUyMGF0JTIwbmlnaHQlMjByYWlufGVufDF8fHx8MTc4OTU5Nzc4OXww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/a-street-at-night-with-a-street-light-on-sDJcm_agS04,https://unsplash.com/@photozzia
street photography at night rain,photography,"Unsplash should be prioritized, with photographer attribution and clear original photo links.",4,unsplash-FhR46F3l9KQ,Rainy night through wet glas.,Gil Ribeiro,Unsplash,2.16,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1576514864427-f0809d2b66eb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwzfHxzdHJlZXQlMjBwaG90b2dyYXBoeSUyMGF0JTIwbmlnaHQlMjByYWlufGVufDF8fHx8MTc4OTU5Nzc4OXww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/people-walking-on-street-in-rainy-day-FhR46F3l9KQ,https://unsplash.com/@gileres
street photography at night rain,photography,"Unsplash should be prioritized, with photographer attribution and clear original photo links.",5,aic-84123,Drinking at Night,"Tang Yin
Chinese, 1470-1523",Art Institute of Chicago,2.01,Public Domain,,,,,,,Chinese (culture or style),,,http://commons.wikimedia.org/wiki/Special:FilePath/Tang%20Yin%20-%20Drinking%20at%20Night%20-%201955.761%20-%20Art%20Institute%20of%20Chicago.jpg?width=843,https://www.artic.edu/artworks/84123,https://www.artic.edu
street photography at night rain,photography,"Unsplash should be prioritized, with photographer attribution and clear original photo links.",6,unsplash-VH7NuUbj104,Lit Night,Filip Mroz,Unsplash,1.96,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1517328894681-0f5dfabd463c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwxfHxzdHJlZXQlMjBwaG90b2dyYXBoeSUyMGF0JTIwbmlnaHQlMjByYWlufGVufDF8fHx8MTc4OTU5Nzc4OXww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/people-standing-near-lamp-post-and-building-VH7NuUbj104,https://unsplash.com/@mroz
fashion editorial photography monochrome,photography,Photography sources should dominate top ranking while still preserving licensing and source labels.,1,unsplash-8EyB_RvaWtY,"Dancing Woman in black and white.
Fashioncampaign shooting",Philipp Arlt,Unsplash,1.91,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1592833578500-1082e18665a3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHw2fHxmYXNoaW9uJTIwZWRpdG9yaWFsJTIwcGhvdG9ncmFwaHklMjBtb25vY2hyb21lfGVufDF8fHx8MTc4OTU5Nzc4OXww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/woman-in-black-coat-and-black-pants-8EyB_RvaWtY,https://unsplash.com/@philipparltdesign
fashion editorial photography monochrome,photography,Photography sources should dominate top ranking while still preserving licensing and source labels.,2,unsplash-PKMvkg7vnUo,@themalicki,Malicki M Beser,Unsplash,1.74,Unsplash License,,,,,,,,,,https://images.unsplash.com/photo-1603189343302-e603f7add05a?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w5MTEwMzF8MHwxfHNlYXJjaHwxfHxmYXNoaW9uJTIwZWRpdG9yaWFsJTIwcGhvdG9ncmFwaHklMjBtb25vY2hyb21lfGVufDF8fHx8MTc4OTU5Nzc4OXww&ixlib=rb-4.1.0&q=80&w=1080,https://unsplash.com/photos/person-in-black-jacket-silhouette-PKMvkg7vnUo,https://unsplash.com/@themalicki
